DATE,POWER_DEMAND,Predicted_POWER_DEMAND
2013-04-14,3153.0,3259.529
2013-04-15,3180.0,3188.1028
2013-04-16,3558.0,3568.7932
2013-04-17,3646.0,3625.2878
2013-04-18,3658.0,3686.3699
2013-04-19,3751.0,3720.9624
2013-04-20,3534.0,3593.1292
2013-04-21,3592.0,3551.2576
2013-04-22,3247.0,3095.1995
2013-04-23,3535.0,3471.1602
2013-04-24,3601.0,3641.167
2013-04-25,3692.0,3748.3496
2013-04-26,3937.0,3883.284
2013-04-27,3871.0,3879.2532
2013-04-28,3570.0,3846.3975
2013-04-29,3497.0,4033.175
2013-04-30,3880.0,3889.6926
2013-05-13,3775.0,3897.716
2013-05-14,4155.0,4176.1074
2013-05-15,4361.0,4296.9463
2013-05-16,4435.0,4467.2256
2013-05-17,4521.0,4497.431
2013-05-18,4578.0,4597.8257
2013-05-19,4381.0,4794.3745
2013-05-20,4384.0,4473.701
2013-05-21,4713.0,4748.8955
2013-05-22,4892.0,4797.36
2013-05-23,4895.0,4846.981
2013-05-24,4996.0,4980.107
2013-05-25,5173.0,4899.7397
2013-05-26,4906.0,4763.6567
2013-05-27,4739.0,4721.6274
2013-05-28,5198.0,5117.955
2013-05-29,5001.0,4741.268
2013-05-30,4981.0,4942.0493
2013-06-13,5045.0,4954.18
2013-06-14,4698.0,4714.908
2013-06-15,4640.0,4296.125
2013-06-16,4367.0,4400.226
2013-06-17,3591.0,3641.0164
2013-06-18,3637.0,3631.862
2013-06-19,3852.0,3916.217
2013-06-20,4118.0,4141.994
2013-06-21,4581.0,4544.8066
2013-06-22,4812.0,4725.167
2013-06-23,4791.0,4825.935
2013-06-24,4900.0,4902.2305
2013-06-25,5364.0,4838.8394
2013-06-26,4999.0,4903.8643
2013-06-27,4867.0,4951.5386
2013-06-28,5048.0,5080.8843
2013-06-30,4837.0,4817.7725
2013-07-13,4580.0,4587.1895
2013-07-14,4571.0,4556.7295
2013-07-15,4396.0,4472.173
2013-07-16,4948.0,4905.023
2013-07-17,4796.0,4799.297
2013-07-18,4974.0,5005.5225
2013-07-19,5053.0,4982.4316
2013-07-20,5020.0,4986.9624
2013-07-21,4318.0,4263.523
2013-07-22,4251.0,4235.237
2013-07-23,4323.0,4339.046
2013-07-24,4683.0,4896.22
2013-07-25,4949.0,4922.8765
2013-07-26,4561.0,4524.587
2013-07-27,4606.0,4627.7275
2013-07-29,4675.0,4660.1646
2013-07-30,4932.0,4932.9194
2013-07-31,4828.0,4283.436
2013-08-13,4405.0,4401.434
2013-08-14,4341.0,4340.903
2013-08-16,3756.0,3768.132
2013-08-17,4090.0,4086.5845
2013-08-18,3783.0,3767.706
2013-08-19,3772.0,3751.3792
2013-08-20,4081.0,4101.4253
2013-08-21,3811.0,3818.9014
2013-08-22,4167.0,4156.2803
2013-08-23,4154.0,4471.7803
2013-08-24,4447.0,4643.991
2013-08-25,4542.0,4541.922
2013-08-26,4500.0,4511.389
2013-08-27,4930.0,4926.0005
2013-08-28,4859.0,4713.237
2013-08-31,4426.0,4405.897
2013-09-13,4685.0,4684.2134
2013-09-14,4750.0,4753.828
2013-09-16,4504.0,4058.3718
2013-09-17,4461.0,4495.698
2013-09-18,4374.0,4479.7124
2013-09-19,4430.0,4373.6587
2013-09-20,4556.0,4547.6196
2013-09-22,3982.0,4099.6143
2013-09-23,3953.0,4001.9614
2013-09-25,4544.0,4512.189
2013-09-26,4348.0,4302.062
2013-09-27,4310.0,4336.4497
2013-09-28,4449.0,4415.9966
2013-09-29,4197.0,4235.3936
2013-09-30,3901.0,3825.2405
2013-10-13,3690.0,4080.3142
2013-10-14,3053.0,3935.5923
2013-10-15,3917.0,3857.9548
2013-10-17,3803.0,3861.5151
2013-10-18,3930.0,3978.5942
2013-10-19,3957.0,3584.9907
2013-10-20,3664.0,3340.1753
2013-10-21,3312.0,3357.3213
2013-10-22,3635.0,3440.233
2013-10-23,3552.0,3597.7617
2013-10-24,3618.0,3594.2668
2013-10-25,3688.0,3659.4224
2013-10-26,3653.0,3628.2483
2013-10-27,3382.0,3399.7573
2013-10-28,3149.0,3123.3923
2013-10-29,3404.0,3363.3083
2013-10-30,3600.0,3501.0618
2013-10-31,3515.0,3521.5286
2013-11-13,3120.0,3044.8083
2013-11-14,3100.0,3103.3376
2013-11-15,3161.0,3125.623
2013-11-16,3180.0,3151.828
2013-11-17,2952.0,2967.18
